,"Pada saat ini, microsoft office merupakan aplikasi yang paling banyak digunakan di seluruh dunia",Tahukah bahwa Microsoft Office pernah merilis Office online,Microsoft Office merupakan yang paling berkualitas dibandingkan software office yang lainnya,"Harga Office sofware 2019 versi Home and Students adalah Rp.1,45 juta,dengan harga begitu,setarakah dengan kualitasnya",Seberapa meningkatnya kemampuan Microsoft Office anda jika dibandingkan waktu SMA dan sekarang,Seberapa meningkatnya pengetahuan anda tentang membuat laporan setelah menggunakan Microsoft word,Seberapa efisienkah mengolah pembukuan dengan Microsoft Office dibandingkan dengan manual,Seberapa banyak program office selain Microsoft office
Sangat tidak setuju,28,0,10,6,0,0,0,0
Tidak Setuju,9,0,19,38,0,0,0,0
Ragu-Ragu,17,87,90,225,0,29,46,96
Setuju,264,0,325,228,0,0,0,0
Sangat Setuju,210,0,84,30,0,0,0,0
Tidak Pernah Tahu,0,97,0,0,0,0,0,0
Sedikit Tahu,0,144,0,0,0,0,0,0
Tahu,0,171,0,0,0,0,0,0
Sangat Tahu,0,29,0,0,0,0,0,0
Sangat Meningkat,0,0,0,0,123,159,0,0
Meningkat,0,0,0,0,285,271,0,0
Biasa saja,0,0,0,0,81,0,0,0
Sedikit Meningkat,0,0,0,0,0,59,0,0
Sedikit,0,0,0,0,35,0,0,0
Tidak Sama Sekali,0,0,0,0,3,10,3,5
Sangat Memudahkan,0,0,0,0,0,0,214,0
Memudahkan,0,0,0,0,0,0,256,0
Kurang Memudahkan,0,0,0,0,0,0,9,0
Sangat Banyak,0,0,0,0,0,0,0,75
Banyak,0,0,0,0,0,0,0,299
Sedikit Banyak,0,0,0,0,0,0,0,52
